VREQ1,VREQ2,VREQ3,VREQ4,VREQ5,VREQ6,VREQ7,SPES1,SPES2,SPES3,SPES4,TLX-Mental,TLX-Physical,TLX-Perf,TLX-Effort,TLX-Frustration
3,5,4,4,5,4,3,4,5,5,3,3,4,4,5,2
4,5,4,3,5,2,3,4,5,3,5,3,3,4,4,2
4,4,3,2,4,4,3,5,5,4,5,3,5,3,5,4
3,4,4,3,5,4,3,4,5,3,3,2,5,5,7,3
4,5,5,5,4,2,4,5,5,5,3,4,6,5,6,3
4,5,4,4,4,2,3,3,4,3,3,3,3,5,4,2
4,4,4,4,5,2,3,4,5,4,4,3,4,5,4,2
4,5,4,4,4,3,4,4,4,5,4,3,4,4,4,2
2,4,2,3,5,5,2,5,5,2,2,3,5,3,5,5
3,2,2,2,4,5,4,4,5,3,2,5,6,6,5,4
4,5,5,4,5,4,4,5,5,5,4,1,5,2,6,1
4,5,4,4,4,3,3,4,3,4,3,3,3,3,3,2
